Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n303,8,0.0039,1.600000,208450.12,164113.989167,20523.504799,9747.718041,14064.905376
n304,8,0.0039,1.600000,212733.40,8171.322399,154234.919694,38019.734537,12307.423604
n305,8,0.0039,1.600000,212430.52,166054.520178,8109.826288,24127.808625,14138.369597
n306,8,0.0039,1.600000,182576.95,35835.018597,128038.766519,8981.786413,9721.373586
n307,8,0.0039,1.600000,158082.50,106593.033815,40249.039759,6012.617412,5227.804258
n308,8,0.0039,1.600000,164864.29,30037.341344,124253.202356,4495.405331,6078.340633
n309,8,0.0039,1.600000,163831.37,17909.716735,2083.956095,86601.110147,57236.588199
n310,8,0.0039,1.600000,166341.83,121746.449106,1791.572850,39060.585480,3743.221699
n311,8,0.0039,1.600000,275889.62,213539.264614,26189.237653,22838.683073,13322.435908
n312,8,0.0039,1.600000,307399.29,60419.823498,196775.232837,24370.559894,25833.672025
n313,8,0.0039,1.600000,224655.26,112098.471051,98940.129634,8314.116019,5302.546359
n314,8,0.0039,1.600000,238649.86,9163.834201,180362.806879,24641.674611,24481.542051
n315,8,0.0039,1.600000,279844.33,185941.163630,42576.798209,24748.533778,26577.835806
